link,artikel,provinsi,konfirmasi
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Sulawesi Utara,Terkonfirmasi: 45
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Sulawesi Barat,Terkonfirmasi: 43
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Papua Barat,Terkonfirmasi: 42
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Riau,Terkonfirmasi: 42
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Maluku Utara,Terkonfirmasi: 41
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Jambi,Terkonfirmasi: 32
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Maluku,Terkonfirmasi: 23
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Gorontalo,Terkonfirmasi: 15
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Bengkulu,Terkonfirmasi: 12
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Aceh,Terkonfirmasi: 11
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Kepulauan Bangka Belitung,Terkonfirmasi: 10
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Nusa Tenggara Timur,Terkonfirmasi: 3
